City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
182,Berezovyy,RU,2022-06-13 17:55:02,51.6667,135.7,59.07,87,70,4.85
183,Bagdarin,RU,2022-06-13 17:55:02,54.4333,113.6,52.95,51,63,2.39
184,Sao Joao Da Barra,BR,2022-06-13 17:55:02,-21.6403,-41.0511,77.09,53,100,14.05
185,Kaeo,NZ,2022-06-13 17:55:03,-35.1,173.7833,52.32,90,18,10.85
186,Pisco,PE,2022-06-13 17:55:03,-13.7,-76.2167,60.85,88,100,5.75
187,Khorramshahr,IR,2022-06-13 17:55:04,30.4397,48.1664,100.36,14,0,6.91
188,Nantucket,US,2022-06-13 17:50:38,41.2835,-70.0995,78.91,83,100,12.66
189,Kotma,IN,2022-06-13 17:55:05,23.2,81.9667,80.89,57,91,3.85
190,Chickasha,US,2022-06-13 17:55:06,35.0526,-97.9364,94.17,46,0,13.8
191,Northam,GB,2022-06-13 17:55:06,51.0333,-4.2167,60.39,70,45,7.05
192,Livingstonia,MW,2022-06-13 17:55:07,-10.606,34.1063,58.33,70,5,4.76
193,Jinka,ET,2022-06-13 17:55:07,5.65,36.65,69.06,58,78,1.21
194,Saryozek,KZ,2022-06-13 17:55:08,44.3583,77.9753,61.48,87,100,4.12
195,Staicele,LV,2022-06-13 17:55:09,57.8364,24.75,55.56,76,42,4.03
196,Jiayuguan,CN,2022-06-13 17:55:09,39.8167,98.3,67.01,10,0,6.13
197,Bethel,US,2022-06-13 17:53:21,41.3712,-73.414,83.46,65,54,1.99
198,Sungaipenuh,ID,2022-06-13 17:55:10,-2.0833,101.3833,64.51,99,99,0.85
199,Kaitangata,NZ,2022-06-13 17:55:11,-46.2817,169.8464,42.69,92,95,17.69
200,Mount Gambier,AU,2022-06-13 17:55:13,-37.8333,140.7667,43.29,85,87,7.0
201,Iqaluit,CA,2022-06-13 17:55:14,63.7506,-68.5145,44.33,75,75,5.75
202,Irece,BR,2022-06-13 17:53:31,-11.3042,-41.8558,87.87,31,40,9.22
203,Mayo,US,2022-06-13 17:55:15,38.8876,-76.5119,93.67,68,0,6.91
204,Atambua,ID,2022-06-13 17:55:15,-9.1061,124.8925,70.74,87,76,5.68
205,Mezen,RU,2022-06-13 17:55:16,65.8522,44.24,57.83,86,88,5.06
206,Socorro,US,2022-06-13 17:55:17,31.6546,-106.3033,100.06,14,9,6.42
207,Jerome,US,2022-06-13 17:55:17,42.7241,-114.5186,51.69,60,10,22.79
208,Vila Velha,BR,2022-06-13 17:55:18,-20.3297,-40.2925,73.35,77,40,16.11
209,Bathsheba,BB,2022-06-13 17:55:18,13.2167,-59.5167,88.41,70,75,17.27
210,Lerwick,GB,2022-06-13 17:55:19,60.1545,-1.1494,51.8,89,100,18.5
211,Maracacume,BR,2022-06-13 17:55:21,-2.0428,-45.9592,90.73,47,12,4.38
212,Tabou,CI,2022-06-13 17:55:21,4.423,-7.3528,79.32,71,83,5.5
213,American Fork,US,2022-06-13 17:55:22,40.3769,-111.7958,54.07,76,100,21.85
214,Sosnovo,RU,2022-06-13 17:55:22,60.5514,30.2144,58.87,71,53,6.73
215,San Patricio,US,2022-06-13 17:54:45,28.017,-97.5169,91.49,37,81,19.91
216,Bambous Virieux,MU,2022-06-13 17:55:23,-20.3428,57.7575,73.22,73,40,13.8
217,Paragominas,BR,2022-06-13 17:55:24,-2.9667,-47.4833,86.47,58,10,2.33
218,Le Port,RE,2022-06-13 17:55:25,-20.9373,55.2919,72.25,71,85,9.98
219,Redmond,US,2022-06-13 17:54:41,47.674,-122.1215,59.0,78,100,4.0
220,Ancud,CL,2022-06-13 17:55:26,-41.8697,-73.8203,52.23,93,100,12.97
221,Djambala,CG,2022-06-13 17:55:27,-2.5447,14.7533,76.84,55,100,3.85
222,Sao Filipe,CV,2022-06-13 17:55:29,14.8961,-24.4956,74.39,75,3,6.55
223,Mtwara,TZ,2022-06-13 17:55:30,-10.2667,40.1833,74.53,83,20,11.5
224,Vikhorevka,RU,2022-06-13 17:55:30,56.1201,101.1636,62.19,88,61,3.78
225,Chokurdakh,RU,2022-06-13 17:55:31,70.6333,147.9167,60.91,33,0,8.66
226,Bolondron,CU,2022-06-13 17:56:32,22.7633,-81.4469,90.66,51,7,5.7
227,Zhanaozen,KZ,2022-06-13 17:56:32,43.3,52.8,81.43,30,90,4.43
