City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
506,Ponta Do Sol,PT,76.01,few clouds,32.67,-17.1,Hotel do Campo
508,Dagana,MR,85.15,moderate rain,16.52,-15.51,FORT DE DAGANA ANCIEN FORT FAIDHERBE
510,Telfs,AT,80.08,clear sky,47.3,11.07,Hotel Munde
516,Kaseda,JP,73.58,overcast clouds,31.42,130.32,Sun Stay Kaseda
517,Poum,NC,75.06,overcast clouds,-20.23,164.02,
520,Kutum,SD,87.58,scattered clouds,14.2,24.67,Dibbo areaمنطقة دبو
521,Ouro Preto,BR,74.34,clear sky,-20.39,-43.51,Hostel Goiabada com Queijo
522,Taft,IR,87.75,clear sky,31.75,54.21,عمارت ساعتی تفت
524,Mitsamiouli,KM,77.18,scattered clouds,-11.38,43.28,Foyer ADM
528,Hamilton,US,77.99,clear sky,39.18,-84.53,Six Acres Bed & Breakfast
529,Isangel,VU,74.12,light rain,-19.55,169.27,Tanna Lodge
530,Griffith,US,77.31,clear sky,41.53,-87.42,Apartment above Depot Bar
531,Pergine Valsugana,IT,74.28,clear sky,46.06,11.24,La Rotonda Albergo Ristorante
532,Manolas,GR,75.29,few clouds,38.05,21.35,Royal Club Hotel
535,Ladario,BR,78.19,clear sky,-19.0,-57.6,Hotel Fazenda 4 cantos
536,Arya,PK,75.16,light rain,33.6,73.07,Hotel Akbar International
539,Piombino,IT,83.66,scattered clouds,42.93,10.52,Hotel Ariston
540,Nicoya,CR,82.04,scattered clouds,10.15,-85.45,Las Cabinas Del Sueño
542,Dwarka,IN,85.12,clear sky,22.24,68.97,Hotel Narayan Avezika Comfort
543,Araouane,ML,88.11,overcast clouds,18.9,-3.53,
544,Gigmoto,PH,80.67,overcast clouds,13.78,124.39,Cj's Travellers Inn
548,Shiyan,CN,72.86,overcast clouds,32.65,110.78,Karen International Hotel
550,Mabaruma,GY,81.63,overcast clouds,8.2,-59.78,Monty Brooms Guest House
551,Isla Mujeres,MX,86.16,overcast clouds,21.23,-86.73,Hotel La Joya Isla Mujeres
552,Gazalkent,UZ,71.92,few clouds,41.56,69.77,Khumson Sanatoriy
555,Brcko,BA,71.42,broken clouds,44.87,18.81,Vila Bakarni
556,Haifa,IL,77.18,clear sky,32.82,34.99,Dan Panorama Haifa Hotel
559,Yinchuan,CN,80.35,clear sky,38.47,106.27,JJ Inns - Yinchuan New Moon Square Branch
560,Lao Cai,VN,76.69,scattered clouds,22.48,103.95,Legend Hotel
562,Santo Antonio Do Ica,BR,84.58,overcast clouds,-3.1,-67.94,Hotel Farias
563,Garoua,CM,75.2,overcast clouds,9.3,13.4,Dreamland Hotel Annexe Bockle
566,Saquarema,BR,73.44,broken clouds,-22.92,-42.51,Hotel Fazenda Sol e Lua
567,Japura,ID,73.47,overcast clouds,-0.32,102.35,Rumah mbah Jamah
570,Lebanon,US,89.17,clear sky,36.21,-86.29,Hampton Inn & Suites Lebanon
572,Tiarei,PF,80.62,light rain,-17.53,-149.33,Le Rocher de Tahiti
574,Porto Velho,BR,86.05,scattered clouds,-8.76,-63.9,Ecos Hotel Conforto
575,Black Forest,US,83.05,clear sky,39.01,-104.7,Datt Properties
